906.932,299.748,15.789,15.381,17.743,13.717,15.696,11.191,12.144,13.114,15.032,24.991,23.572,33.781,39.982,48.022,55.512,68.26,95.469
2.12,3.123,2.463,1.925,3.95,3.453,5.415,3.88,4.636,6.688,8.17,12.683,16.1,20.761,26.6,34.688,44.717,59.537,81.753
0.741,1.376,2.367,1.748,3.922,3.164,5.199,3.752,4.553,6.176,7.909,12.627,15.539,20.394,26.43,34.285,44.269,60.445,80.269
0.812,1.388,2.047,1.721,3.652,3.186,5.177,3.523,4.619,6.199,7.602,12.323,15.596,20.475,26.519,33.712,44.178,59.188,80.88
0.815,1.343,2.195,1.716,3.624,3.369,5.055,3.504,4.501,6.127,7.65,12.447,15.651,20.222,26.445,33.96,44.374,59.072,80.497
0.735,1.761,2.069,1.94,4.297,3.756,5.193,3.619,4.455,5.987,7.765,12.583,15.593,20.232,26.066,33.951,44.891,59.176,80.622
0.686,1.293,1.998,1.879,3.615,3.718,5.016,3.61,4.684,5.985,7.593,12.49,15.375,20.2,26.539,33.817,44.21,58.686,79.778
0.714,1.31,2.188,1.733,3.814,3.816,5.164,3.614,4.584,6.021,7.844,12.282,15.468,20.642,25.995,33.701,44.313,59.535,80.133
0.654,1.434,2.017,1.917,3.574,3.93,5.097,3.491,4.587,6.162,7.637,12.277,15.297,20.488,25.913,33.574,44.264,58.724,80.552
0.641,1.309,2.203,1.714,3.802,3.698,4.985,3.579,4.481,6.048,7.609,12.54,15.326,20.116,26.048,33.699,44.655,58.565,80.102
0.638,1.327,1.974,1.728,3.601,3.719,5.034,3.558,4.74,5.955,7.594,12.459,15.389,20.167,25.732,34.083,44.456,58.766,81.832
0.677,1.396,1.965,1.729,3.601,3.688,5.006,3.475,4.62,6.878,7.781,12.615,15.525,20.527,25.861,33.63,44.192,58.76,79.849
0.662,1.282,1.929,1.712,3.88,3.735,4.999,3.58,4.768,6.036,7.841,12.251,15.39,20.984,25.81,33.929,44.224,58.756,80.262
0.627,1.49,1.945,1.702,3.819,3.867,5.055,3.516,4.757,5.968,7.78,12.244,15.395,20.114,25.823,33.692,44.429,58.989,79.703
0.639,1.295,1.99,1.722,3.606,3.73,4.964,3.662,4.613,6.131,7.681,12.279,15.355,20.525,25.99,33.909,44.466,58.667,80.106
0.631,1.293,1.967,1.691,3.645,3.7,5.079,3.625,4.549,6.1,7.682,13.842,15.53,20.673,25.735,33.639,44.266,58.607,79.886
0.682,1.273,2.147,1.731,3.632,3.853,5.045,3.583,4.487,6.056,7.758,12.556,15.434,20.551,25.958,33.587,44.134,58.824,79.76
0.633,1.288,1.991,1.712,4.137,3.639,5,3.591,4.606,5.987,7.698,12.456,15.403,20.532,25.871,33.882,44.147,58.784,79.802
0.661,1.324,1.991,1.679,3.569,3.767,5.025,3.606,4.664,6.061,7.694,12.425,15.406,20.079,25.852,33.5,44.003,58.92,79.871
0.688,1.308,1.98,1.678,3.571,3.68,4.922,3.652,4.459,6.082,7.625,12.241,15.373,20.367,25.929,33.8,44.428,59.927,80.296
0.646,1.463,1.992,1.682,3.588,3.693,4.96,3.584,4.608,5.958,7.662,12.266,15.434,20.631,26.135,33.755,44.085,58.688,79.924
0.639,1.671,2.17,1.688,3.561,3.708,4.964,3.485,4.427,5.952,7.641,12.464,15.542,20.102,25.769,34.183,44.297,59.14,79.862
0.639,1.47,2.139,1.694,3.616,3.826,5.06,3.513,4.476,6.012,7.739,12.218,15.348,20.2,26.314,33.97,45.484,58.491,81.473
0.633,1.312,1.974,1.7,4.105,3.73,4.884,3.599,4.443,6,7.656,12.239,15.477,20.173,25.905,34.124,44.469,58.438,79.785
0.634,1.315,1.985,1.697,3.595,3.668,11.949,3.557,4.619,5.99,7.651,12.291,15.296,20.27,25.732,35.519,43.841,59.113,79.916
0.641,1.306,2.121,1.72,3.649,3.667,5.007,3.515,4.524,5.979,7.745,12.234,15.329,20.007,27.196,33.737,44.051,58.631,80.036
0.638,1.278,1.959,1.751,4.058,3.724,5.255,3.518,4.561,6.114,7.632,12.295,15.379,20.478,25.925,33.713,43.875,58.608,80.246
0.644,1.276,2.102,1.731,3.612,3.79,4.932,3.513,4.495,5.959,7.705,12.244,15.404,20.103,25.959,33.714,44.215,58.979,79.845
0.625,6.632,1.993,1.984,3.56,3.806,5.062,3.474,4.476,6.082,7.758,12.294,15.333,20.155,26.065,33.587,44.262,58.408,80.377
0.626,2.029,1.967,1.697,4.072,3.705,4.948,3.573,4.591,5.97,7.634,12.469,15.496,20.074,25.7,33.755,44.299,58.503,80.368
0.655,1.326,1.976,1.699,3.934,3.697,5.026,3.466,4.473,6.035,7.654,12.284,15.437,20.486,26.023,33.758,43.922,58.63,79.746
0.626,1.288,2.285,1.732,3.596,3.68,4.972,3.51,4.502,5.899,7.711,12.376,15.377,20.132,25.939,33.776,44.676,58.338,80.14
0.635,1.312,1.98,1.708,4.016,3.669,4.991,3.498,4.464,5.928,7.702,12.219,15.311,20.099,25.768,33.605,44.29,58.73,80.151
0.654,1.278,2.234,1.7,3.555,3.721,4.927,3.55,4.465,6.159,7.619,12.267,15.369,20.343,25.888,33.733,44.009,58.745,79.67
0.742,1.288,1.978,1.716,3.555,3.688,4.968,3.513,4.48,6.136,7.604,17.41,15.473,20.148,25.73,33.84,44.089,58.549,80.649
0.765,1.281,2.009,1.693,3.578,3.735,4.941,3.513,4.438,5.937,7.661,12.201,15.435,20.117,25.754,33.867,44.112,58.856,81.155
0.639,1.273,1.955,1.683,3.576,3.663,5.893,3.648,4.445,5.988,7.76,12.225,15.351,20.171,26.304,33.685,44.067,59.879,79.729
0.64,1.282,1.977,1.72,4.012,3.733,4.972,3.61,4.488,6.008,7.623,12.289,15.349,20.368,25.69,33.933,44.118,58.591,79.98
0.631,1.486,2.231,1.929,3.608,3.666,5.076,3.494,4.47,6.186,7.601,12.224,15.522,20.085,25.649,33.718,44.125,58.663,79.932
0.639,1.285,1.973,1.714,3.593,3.769,4.965,3.512,4.442,6.004,7.952,12.247,15.34,20.232,25.861,33.823,43.959,58.67,79.96
0.627,1.281,1.972,1.674,3.954,3.677,5.658,3.55,4.716,5.986,7.643,12.244,15.367,20.287,25.715,34.129,44.129,58.66,79.817
0.646,1.3,1.992,1.721,3.561,3.691,4.938,3.487,4.48,5.972,7.632,12.234,15.302,20.3,25.811,33.748,43.928,58.766,79.708
0.638,1.309,1.981,1.721,3.582,3.702,5.092,3.497,4.512,5.965,7.588,12.24,15.383,20.442,25.85,34.297,43.905,58.486,79.984
0.636,1.272,1.984,1.701,3.832,3.771,4.964,3.513,4.434,6.242,7.855,12.169,15.379,20.608,25.59,33.581,43.677,58.444,79.778
0.807,1.294,1.979,1.727,3.959,6.597,5.004,3.597,4.444,6.01,7.68,12.446,15.39,20.195,26.024,33.845,43.9,58.551,80.337
0.685,1.271,2.155,1.718,3.619,3.726,4.988,3.526,4.45,5.931,7.629,12.196,15.334,20.116,25.714,33.798,45.031,58.549,79.918
0.64,1.289,1.968,1.69,3.624,3.748,5.05,3.54,4.575,5.945,7.693,12.293,15.558,20.217,25.738,33.786,43.78,58.554,79.81
0.652,4.742,1.961,1.737,3.556,3.684,4.98,3.495,4.486,6,7.666,12.238,15.4,21.723,25.986,33.69,43.777,58.417,81.467
0.633,1.495,1.98,1.708,3.579,3.705,5.085,3.584,4.457,5.956,7.595,12.418,15.404,20.203,26.001,33.653,43.824,58.545,79.622
0.638,1.298,1.997,1.692,3.817,3.727,4.934,3.484,4.487,5.93,7.683,12.351,15.358,20.375,26.016,33.634,44.114,59.067,80.087
0.633,1.295,1.975,1.71,3.564,3.67,5.142,3.543,4.457,5.98,7.752,12.208,15.374,20.111,25.522,33.568,43.762,58.523,79.61
0.624,1.264,2.229,1.712,3.593,3.703,6.683,3.543,4.448,5.927,7.612,12.276,15.463,19.943,25.707,33.837,44.319,58.479,80.004
0.651,1.286,2.207,1.74,4.008,3.791,4.967,3.509,4.514,6.042,7.588,12.227,17.849,20.097,25.781,33.736,43.939,58.659,79.889
0.626,1.274,1.99,1.701,7.945,3.771,5.157,3.499,4.443,6.046,7.63,12.348,15.321,20.264,26.01,33.919,44.205,59.496,79.991
0.648,1.29,1.964,1.713,3.651,3.91,5.135,3.472,4.476,5.936,7.633,12.166,15.316,20.116,25.891,35.327,43.888,58.508,80.104
0.636,1.317,1.954,2.134,3.849,3.641,4.964,3.519,4.487,6.05,7.603,12.198,15.45,20.107,25.721,33.651,44.535,58.68,80.1
0.651,1.304,1.948,1.716,3.601,3.724,5.135,3.489,4.602,6.107,7.622,12.271,15.351,20.272,26.283,33.657,44.134,58.538,80.196
0.652,1.468,1.956,1.72,3.644,3.715,4.96,3.488,4.651,6.031,7.693,12.246,15.383,20.17,25.797,33.98,44.285,59.177,79.924
