94.106,34.334,21.983,19.57,29.298,28.161,21.848,15.554,15.294,19.37,20.691,35.661,51.508,54.978,87.751,121.51,177.369,249.747,449.84
0.908,2.037,1.981,2.588,4.781,6.042,4.705,5.002,6.416,9.573,12.157,21.19,29.004,41.213,60.054,91.165,139.668,223.676,372.276
0.787,1.471,1.833,2.318,4.228,5.282,4.329,4.863,6.293,8.954,11.279,20.325,29.193,40.322,58.306,90.702,138.069,222.955,368.158
0.884,1.632,1.533,2.163,3.983,4.465,4.229,4.95,6.202,8.711,11.122,19.928,27.519,39.704,58.675,90.015,140.976,224.58,367.441
0.694,1.606,1.557,2.408,4.049,4.172,4.157,4.832,6.229,8.658,11.169,20.183,27.214,39.24,58.723,89.952,137.549,222.98,369.091
0.746,1.525,1.561,2.092,4.167,4.509,4.154,4.707,6.152,8.631,11.153,20.029,27.319,39.208,58.722,90.076,137.479,222.324,367.193
0.706,1.434,1.538,2.276,3.953,4.421,4.214,4.75,6.224,8.597,10.97,19.737,27.22,39.451,57.796,89.422,137.152,222.453,366.722
0.866,1.513,1.541,2.115,3.963,4.425,4.233,4.781,6.191,8.726,11.174,19.802,27.482,39.322,57.639,89.658,136.905,222.058,369.04
0.677,1.407,1.603,2.07,3.955,4.517,4.229,4.748,6.293,8.695,11.01,19.622,27.228,38.954,58.244,92.147,137.058,223.422,367.085
0.69,1.459,1.553,2.375,4.161,4.6,4.09,4.836,6.263,8.707,11.048,19.848,27.498,39.179,57.525,89.697,136.88,222.351,368.59
0.718,1.689,1.553,2.224,4.018,4.667,4.148,4.739,6.196,8.694,14.274,19.73,27.158,38.976,57.469,89.545,140.96,222.008,366.752
0.893,1.658,1.577,2.109,3.942,4.525,4.202,4.743,6.22,8.69,11.353,19.93,27.084,39.205,59.112,89.707,137.363,221.8,366.693
0.714,1.464,1.545,2.096,3.943,4.43,4.242,4.695,6.304,8.61,11.135,19.73,27.374,39.032,57.627,88.979,137.066,224.416,367.776
0.694,1.613,1.548,2.084,4.476,4.396,4.108,4.802,6.209,8.611,11.043,19.774,27.576,38.934,57.69,88.894,136.729,221.854,366.683
0.708,1.36,1.547,2.129,3.937,4.451,4.257,4.669,6.269,8.519,11.176,20.247,27.282,38.929,57.499,88.833,136.777,221.347,366.42
0.706,1.445,1.55,2.081,3.897,4.346,4.064,4.726,6.293,8.607,11.285,19.814,27.651,38.933,57.73,88.625,137.046,222.471,368.094
0.76,1.384,1.559,2.113,4.185,4.264,4.15,4.72,6.162,8.53,11.051,19.755,27.336,39.08,57.266,88.627,136.531,221.433,366.483
0.725,1.507,1.562,2.098,4.01,4.302,4.11,4.802,6.49,8.663,11.257,19.67,27.896,39.147,57.548,88.89,136.783,223.826,365.557
0.706,1.361,1.546,2.129,3.937,4.239,4.107,4.822,6.368,8.722,11.172,19.76,27.461,39.11,57.746,89.269,138.103,222.129,367.397
0.71,1.352,1.563,2.1,4.037,4.291,4.227,4.774,6.159,8.714,10.994,19.824,27.159,39.011,57.126,91.766,137.557,221.803,365.946
0.735,1.396,1.536,2.108,3.986,4.28,4.228,4.725,6.263,8.608,11.082,19.708,27.43,40.557,57.597,89.246,136.435,221.533,367.821
0.696,1.33,1.575,2.075,3.993,4.335,4.129,4.804,6.141,8.664,11.036,19.842,27.069,38.881,57.663,88.856,136.328,222.676,365.566
0.701,1.253,1.528,2.101,3.952,4.463,4.093,4.728,6.19,8.641,11.141,19.704,27.786,39.265,57.618,88.907,136.308,222.483,364.833
0.711,1.3,1.547,2.116,3.918,4.368,4.12,4.678,6.16,8.547,10.944,20.261,27.296,38.883,57.438,88.876,136.276,222.112,367.968
0.68,1.389,1.571,2.096,3.919,4.358,4.115,4.792,6.251,8.553,11.062,19.783,27.025,39.039,57.648,88.729,136.272,221.444,366.023
